MTGDATE;Number;69/03-96/12;1969/03-2008/12
71784;172;0,326812846;0,31988995
82184;173;-0,061283935;-0,06870127
100284;174;0,035286516;-0,036905193
110784;175;-0,545643144;-0,560584268
121884;176;-0,143610976;-0,182365013
21385;177;-0,157752493;-0,126385189
32685;178;0,201275991;0,201236125
52185;179;-0,103948441;-0,153126773
71085;180;0,060238728;0,063337765
82085;181;0,186386124;0,18113142
100185;182;0,104016372;0,097904839
110585;183;0,02079826;-8,26E-06
121785;184;-0,069444001;-0,06703525
21286;185;-0,109958119;-0,08673954
40186;186;0,206716385;0,201608508
52086;187;0,075904953;0,089377127
70986;188;-0,167810037;-0,193286658
81986;189;-0,234049648;-0,237543755
92386;190;0,001469667;0,035462767
110586;191;0,021131313;0,054134902
121686;192;-0,081787984;-0,036705909
21287;193;0,175747037;0,206242256
33187;194;0,19110595;0,246397766
51987;195;0,238376191;0,267794644
70787;196;-0,040865439;-0,024945502
81887;197;-0,021046005;-0,012497971
92287;198;-0,146795267;-0,121185953
